 	transcript_5p20nt_MFE
MSMEG_2245	-1.30
MSMEG_2246	-3.70
MSMEG_2247	NA
MSMEG_2248	-1.10
MSMEG_2249	NA
MSMEG_2250	NA
MSMEG_2251	NA
MSMEG_2252	NA
MSMEG_2253	NA
MSMEG_2254	NA
MSMEG_2255	NA
MSMEG_2256	NA
MSMEG_2257	NA
MSMEG_2258	NA
MSMEG_2259	0.00
MSMEG_2260	NA
MSMEG_2261	-5.30
MSMEG_2262	NA
MSMEG_2263	NA
MSMEG_2264	NA
MSMEG_2265	NA
MSMEG_2266	NA
MSMEG_2267	NA
MSMEG_2268	-4.00
MSMEG_2269	NA
MSMEG_2270	NA
MSMEG_2271	NA
MSMEG_2272	0.00
MSMEG_2273	-1.30
MSMEG_2274	NA
MSMEG_2275	NA
MSMEG_2276	NA
MSMEG_2277	-2.30
MSMEG_2278	NA
MSMEG_2279	NA
MSMEG_2280	-3.60
MSMEG_2281	NA
MSMEG_2282	-3.60
MSMEG_2283	NA
MSMEG_2284	-7.50
MSMEG_2285	NA
MSMEG_2286	NA
MSMEG_2287	-1.40
MSMEG_2288	-3.80
MSMEG_2289	-1.80
MSMEG_2290	0.00
MSMEG_2291	NA
MSMEG_2292	-0.80
MSMEG_2293	NA
MSMEG_2294	NA
MSMEG_2295	NA
MSMEG_2296	NA
MSMEG_2297	-1.10
MSMEG_2299	NA
MSMEG_2301	NA
MSMEG_2302	NA
MSMEG_2303	-0.20
MSMEG_2304	NA
MSMEG_2305	NA
MSMEG_2306	-0.80
MSMEG_2307	-0.60
MSMEG_2308	-1.10
MSMEG_2309	-4.50
MSMEG_2310	-1.40
MSMEG_2311	NA
MSMEG_2312	NA
MSMEG_2313	-2.70
MSMEG_2314	-1.70
MSMEG_2315	NA
MSMEG_2317	-1.80
MSMEG_2318	-1.00
MSMEG_2319	0.00
MSMEG_2321	NA
MSMEG_2322	-0.40
MSMEG_2323	NA
MSMEG_2324	-0.50
MSMEG_2325	NA
MSMEG_2326	-0.90
MSMEG_2327	NA
MSMEG_2328	NA
MSMEG_2329	0.00
MSMEG_2330	NA
MSMEG_2331	-7.70
MSMEG_2332	-1.60
MSMEG_2333	0.00
MSMEG_2334	NA
MSMEG_2335	NA
MSMEG_2337	NA
MSMEG_2338	-3.60
MSMEG_2339	NA
MSMEG_2340	NA
MSMEG_2341	NA
MSMEG_2342	NA
MSMEG_2343	NA
MSMEG_2344	NA
MSMEG_2346	NA
MSMEG_2347	NA
MSMEG_2349	-3.50
MSMEG_2350	NA
MSMEG_2351	-1.20
MSMEG_2352	-2.30
MSMEG_2353	NA
MSMEG_2354	NA
MSMEG_2355	NA
MSMEG_2356	NA
MSMEG_2357	-0.80
MSMEG_2358	NA
MSMEG_2359	-4.00
MSMEG_2360	NA
MSMEG_2361	0.00
MSMEG_2362	-1.90
MSMEG_2363	-0.60
MSMEG_2364	NA
MSMEG_2365	NA
MSMEG_2367	NA
MSMEG_2368	-4.30
MSMEG_2369	NA
MSMEG_2370	-2.70
MSMEG_2371	-1.70
MSMEG_2372	-4.20
MSMEG_2373	-2.90
MSMEG_2374	NA
MSMEG_2375	0.00
MSMEG_2376	NA
MSMEG_2377	-3.10
MSMEG_2378	0.00
MSMEG_2379	NA
MSMEG_2380	NA
MSMEG_2381	0.00
MSMEG_2382	0.00
MSMEG_2383	NA
MSMEG_2386	0.00
MSMEG_2387	-4.60
MSMEG_2388	NA
MSMEG_2389	-8.50
MSMEG_2390	NA
MSMEG_2391	NA
MSMEG_2392	-3.00
MSMEG_2393	-4.00
MSMEG_2394	NA
MSMEG_2395	0.00
MSMEG_2396	-1.30
MSMEG_2397	-2.60
MSMEG_2398	-1.70
MSMEG_2399	-1.70
MSMEG_2400	-4.30
MSMEG_2401	NA
MSMEG_2402	NA
MSMEG_2403	-2.00
MSMEG_2404	NA
MSMEG_2405	-0.30
MSMEG_2406	NA
MSMEG_2407	-2.80
MSMEG_2408	-2.80
MSMEG_2409	-1.20
MSMEG_2410	-1.00
MSMEG_2411	NA
MSMEG_2412	0.00
MSMEG_2413	NA
MSMEG_2414	NA
MSMEG_2415	NA
MSMEG_2416	0.00
MSMEG_2417	-1.40
MSMEG_2418	NA
MSMEG_2419	NA
MSMEG_2420	-3.50
MSMEG_2421	-4.00
MSMEG_2422	NA
MSMEG_2423	0.00
MSMEG_2424	0.00
MSMEG_2425	-7.60
MSMEG_2426	-0.30
MSMEG_2427	-4.10
MSMEG_2428	-1.50
MSMEG_2429	NA
MSMEG_2430	0.00
MSMEG_2431	NA
MSMEG_2432	-6.20
MSMEG_2433	NA
MSMEG_2434	-1.50
MSMEG_2435	-2.80
MSMEG_2436	NA
MSMEG_2437	NA
MSMEG_2438	NA
MSMEG_2439	-0.40
MSMEG_2440	-2.70
MSMEG_2441	NA
MSMEG_2442	-4.30
MSMEG_2443	-0.80
MSMEG_2444	-2.00
MSMEG_2445	-2.20
MSMEG_2446	-1.30
MSMEG_2447	NA
MSMEG_2448	NA
MSMEG_2449	-1.20
MSMEG_2450	-1.70
MSMEG_2451	-8.40
MSMEG_2452	NA
MSMEG_2453	-1.50
MSMEG_2454	NA
MSMEG_2455	0.00
MSMEG_2456	0.00
MSMEG_2457	NA
MSMEG_2458	NA
MSMEG_2459	NA
MSMEG_2460	NA
MSMEG_2461	NA
MSMEG_2462	NA
MSMEG_2463	NA
MSMEG_2464	NA
MSMEG_2465	NA
MSMEG_2466	NA
MSMEG_2467	-3.50
MSMEG_2468	-3.40
MSMEG_2469	-2.50
MSMEG_2470	NA
MSMEG_2471	NA
MSMEG_2472	0.00
MSMEG_2474	NA
MSMEG_2475	-0.10
MSMEG_2476	NA
MSMEG_2477	NA
MSMEG_2478	0.00
MSMEG_2479	NA
MSMEG_2480	NA
MSMEG_2481	NA
MSMEG_2482	NA
MSMEG_2483	NA
MSMEG_2484	NA
MSMEG_2485	NA
MSMEG_2486	-0.30
MSMEG_2487	0.00
MSMEG_2488	-0.70
MSMEG_2489	NA
MSMEG_2490	0.00
MSMEG_2491	NA
MSMEG_2492	NA
MSMEG_2493	NA
MSMEG_2494	NA
MSMEG_2495	-3.60
MSMEG_2496	NA
MSMEG_2497	-0.60
MSMEG_2498	NA
MSMEG_2499	NA
MSMEG_2500	NA
MSMEG_2501	NA
MSMEG_2502	NA
MSMEG_2503	NA
MSMEG_2504	NA
MSMEG_2505	NA
MSMEG_2506	-8.00
MSMEG_2507	-3.40
MSMEG_2508	NA
MSMEG_2509	NA
MSMEG_2511	-7.10
MSMEG_2512	-5.60
MSMEG_2513	NA
MSMEG_2515	NA
MSMEG_2516	-1.10
MSMEG_2517	-3.10
MSMEG_2518	NA
MSMEG_2519	-11.80
MSMEG_2520	-10.10
MSMEG_2521	NA
MSMEG_2522	NA
MSMEG_2523	NA
MSMEG_2524	NA
MSMEG_2525	NA
MSMEG_2526	-7.40
MSMEG_2527	-5.00
MSMEG_2528	-2.80
MSMEG_2529	-1.10
MSMEG_2530	NA
MSMEG_2531	-4.10
MSMEG_2532	0.00
MSMEG_2533	NA
MSMEG_2534	NA
MSMEG_2535	NA
MSMEG_2536	NA
MSMEG_2537	NA
MSMEG_2538	NA
MSMEG_2539	0.00
MSMEG_2540	-5.40
MSMEG_2541	-1.20
MSMEG_2542	-7.20
MSMEG_2543	-1.20
MSMEG_2544	-2.40
MSMEG_2545	0.00
MSMEG_2546	-0.30
MSMEG_2547	NA
MSMEG_2548	NA
MSMEG_2549	NA
MSMEG_2550	NA
MSMEG_2551	NA
MSMEG_2552	0.00
MSMEG_2553	0.00
MSMEG_2554	NA
MSMEG_2555	NA
MSMEG_2556	-4.60
MSMEG_2557	NA
MSMEG_2558	NA
MSMEG_2559	NA
MSMEG_2560	NA
MSMEG_2561	NA
MSMEG_2562	NA
MSMEG_2563	NA
MSMEG_2564	NA
MSMEG_2565	NA
MSMEG_2566	NA
MSMEG_2567	NA
MSMEG_2568	NA
MSMEG_2569	NA
MSMEG_2570	-3.30
MSMEG_2571	-10.20
MSMEG_2572	-0.10
MSMEG_2573	NA
MSMEG_2574	-2.20
MSMEG_2575	NA
MSMEG_2576	NA
MSMEG_2577	NA
MSMEG_2578	-0.50
MSMEG_2579	-0.60
MSMEG_2580	NA
MSMEG_2581	-8.80
MSMEG_2582	-3.30
MSMEG_2583	NA
MSMEG_2584	0.00
MSMEG_2585	-0.70
MSMEG_2586	NA
MSMEG_2587	0.00
MSMEG_2588	NA
MSMEG_2589	0.00
MSMEG_2590	-5.70
MSMEG_2591	NA
MSMEG_2592	-0.60
MSMEG_2593	NA
MSMEG_2594	-1.20
MSMEG_2595	-2.10
MSMEG_2596	NA
MSMEG_2597	-3.80
MSMEG_2598	NA
MSMEG_2599	NA
MSMEG_2600	NA
MSMEG_2601	-2.60
MSMEG_2602	NA
MSMEG_2603	NA
MSMEG_2604	-4.70
MSMEG_2605	-1.30
MSMEG_2606	-4.60
MSMEG_2607	NA
MSMEG_2608	NA
MSMEG_2609	NA
MSMEG_2610	NA
MSMEG_2611	0.00
MSMEG_2612	-2.50
MSMEG_2613	0.00
MSMEG_2614	NA
MSMEG_2615	NA
MSMEG_2616	NA
MSMEG_2617	NA
MSMEG_2618	0.00
MSMEG_2619	NA
MSMEG_2620	NA
MSMEG_2621	0.00
MSMEG_2622	NA
MSMEG_2623	-2.70
MSMEG_2624	-2.90
MSMEG_2625	0.00
MSMEG_2626	NA
MSMEG_2627	NA
MSMEG_2628	NA
MSMEG_2629	NA
MSMEG_2630	0.00
MSMEG_2631	NA
MSMEG_2632	NA
MSMEG_2633	NA
MSMEG_2634	NA
MSMEG_2635	-2.70
MSMEG_2636	NA
MSMEG_2637	NA
MSMEG_2638	NA
MSMEG_2639	0.00
MSMEG_2640	NA
MSMEG_2641	0.00
MSMEG_2642	NA
MSMEG_2643	-2.30
MSMEG_2644	NA
MSMEG_2645	-8.00
MSMEG_2646	NA
MSMEG_2647	-5.00
MSMEG_2648	NA
MSMEG_2649	NA
MSMEG_2650	NA
MSMEG_2651	NA
MSMEG_2652	-1.20
MSMEG_2653	-4.00
MSMEG_2654	-3.50
MSMEG_2655	0.00
MSMEG_2656	-1.80
MSMEG_2657	-1.40
MSMEG_2658	0.00
MSMEG_2659	-0.70
MSMEG_2660	-1.20
MSMEG_2661	-1.20
MSMEG_2662	NA
MSMEG_2663	-2.10
MSMEG_2664	-1.00
MSMEG_2665	NA
MSMEG_2666	NA
MSMEG_2667	0.00
MSMEG_2668	-0.70
MSMEG_2669	0.00
MSMEG_2670	-1.60
MSMEG_2671	NA
MSMEG_2672	-0.80
MSMEG_2673	-2.10
MSMEG_2674	NA
MSMEG_2675	0.00
MSMEG_2676	-2.10
MSMEG_2677	NA
MSMEG_2678	NA
MSMEG_2679	0.00
MSMEG_2680	NA
MSMEG_2681	NA
MSMEG_2682	NA
MSMEG_2683	-9.60
MSMEG_2684	-0.70
MSMEG_2685	NA
MSMEG_2686	NA
MSMEG_2687	NA
MSMEG_2688	0.00
MSMEG_2689	NA
MSMEG_2690	NA
MSMEG_2691	-2.20
MSMEG_2692	-2.40
MSMEG_2693	-8.60
MSMEG_2694	-2.60
MSMEG_2695	-0.70
MSMEG_2696	0.00
MSMEG_2697	NA
MSMEG_2698	-1.20
MSMEG_2699	-2.30
MSMEG_2700	-0.70
MSMEG_2701	-1.50
MSMEG_2702	NA
MSMEG_2703	NA
MSMEG_2705	NA
MSMEG_2706	NA
MSMEG_2707	NA
MSMEG_2708	NA
MSMEG_2709	NA
MSMEG_2710	NA
MSMEG_2711	NA
MSMEG_2712	NA
MSMEG_2713	NA
MSMEG_2714	NA
MSMEG_2715	NA
MSMEG_2716	NA
MSMEG_2717	NA
MSMEG_2718	NA
MSMEG_2719	NA
MSMEG_2720	-7.00
MSMEG_2721	NA
MSMEG_2722	-5.20
MSMEG_2723	-3.30
MSMEG_2724	NA
MSMEG_2725	NA
MSMEG_2726	NA
MSMEG_2727	0.00
MSMEG_2728	-4.00
MSMEG_2729	NA
MSMEG_2731	-2.00
MSMEG_2732	0.00
MSMEG_2733	-2.70
MSMEG_2734	NA
MSMEG_2735	-4.00
MSMEG_2736	0.00
MSMEG_2737	-3.20
MSMEG_2738	-0.70
MSMEG_2739	-0.50
MSMEG_2740	-1.50
MSMEG_2741	NA
MSMEG_2742	-0.90
MSMEG_2743	-2.00
MSMEG_2744	-3.10
MSMEG_2746	-0.40
MSMEG_2748	-0.40
MSMEG_2749	NA
MSMEG_2750	-2.30
MSMEG_2751	-5.40
MSMEG_2752	-0.10
MSMEG_2753	-0.60
MSMEG_2754	0.00
MSMEG_2755	-1.60
MSMEG_2756	-3.20
MSMEG_2757	-0.40
MSMEG_2758	-3.80
MSMEG_2759	NA
MSMEG_2760	0.00
MSMEG_2761	-2.20
MSMEG_2762	-0.20
MSMEG_2763	0.00
MSMEG_2764	-5.10
MSMEG_2765	-4.10
MSMEG_2766	NA
MSMEG_2767	NA
MSMEG_2768	-2.80
MSMEG_2769	NA
MSMEG_2770	-3.00
MSMEG_2771	-1.70
MSMEG_2772	-0.50
MSMEG_2773	-4.40
MSMEG_2774	-0.10
MSMEG_2775	-4.90
MSMEG_2776	NA
MSMEG_2777	-2.60
MSMEG_2778	-2.80
MSMEG_2779	-3.70
MSMEG_2780	0.00
MSMEG_2781	NA
MSMEG_2782	-0.30
MSMEG_2783	-1.80
MSMEG_2784	0.00
MSMEG_2785	-4.50
MSMEG_2786	NA
MSMEG_2787	NA
MSMEG_2788	NA
MSMEG_2789	NA
MSMEG_2790	NA
MSMEG_2791	0.00
MSMEG_2792	-3.20
MSMEG_2793	-3.30
MSMEG_2794	-2.50
MSMEG_2795	-0.30
MSMEG_2796	NA
MSMEG_2797	NA
MSMEG_2798	-2.80
MSMEG_2799	-0.40
MSMEG_2800	-11.50
MSMEG_2801	NA
MSMEG_2802	NA
MSMEG_2803	NA
MSMEG_2804	-1.00
MSMEG_2805	NA
MSMEG_2806	NA
MSMEG_2807	NA
MSMEG_2808	NA
MSMEG_2809	NA
MSMEG_2810	NA
MSMEG_2811	NA
MSMEG_2812	NA
MSMEG_2813	-5.60
MSMEG_2814	NA
MSMEG_2817	NA
MSMEG_2818	NA
MSMEG_2819	-3.00
MSMEG_2820	-4.10
MSMEG_2821	NA
MSMEG_2822	-2.30
MSMEG_2823	-5.20
MSMEG_2824	-5.20
MSMEG_2825	NA
MSMEG_2826	-0.10
MSMEG_2827	NA
MSMEG_2828	NA
MSMEG_2829	-3.60
MSMEG_2830	NA
MSMEG_2831	NA
MSMEG_2832	NA
MSMEG_2837	NA
MSMEG_2838	NA
MSMEG_2839	0.00
MSMEG_2840	0.00
MSMEG_2841	NA
MSMEG_2842	NA
MSMEG_2843	-4.50
MSMEG_2844	NA
MSMEG_2845	NA
MSMEG_2846	NA
MSMEG_2847	NA
MSMEG_2848	NA
MSMEG_2849	-1.70
MSMEG_2850	NA
MSMEG_2851	NA
MSMEG_2852	NA
MSMEG_2853	NA
MSMEG_2854	NA
MSMEG_2855	NA
MSMEG_2856	NA
MSMEG_2857	NA
MSMEG_2858	NA
MSMEG_2859	NA
MSMEG_2860	NA
MSMEG_2861	NA
MSMEG_2862	NA
MSMEG_2863	NA
MSMEG_2864	NA
MSMEG_2865	NA
MSMEG_2866	NA
MSMEG_2867	NA
MSMEG_2868	-0.70
MSMEG_2869	NA
MSMEG_2870	NA
MSMEG_2871	NA
MSMEG_2872	NA
MSMEG_2873	NA
MSMEG_2874	NA
MSMEG_2875	NA
MSMEG_2876	NA
MSMEG_2877	NA
MSMEG_2878	NA
MSMEG_2879	NA
MSMEG_2880	NA
MSMEG_2881	0.00
MSMEG_2882	NA
MSMEG_2883	NA
MSMEG_2884	NA
MSMEG_2885	NA
MSMEG_2886	NA
MSMEG_2887	NA
MSMEG_2888	NA
MSMEG_2889	NA
MSMEG_2890	-4.80
MSMEG_2891	NA
MSMEG_2892	NA
MSMEG_2893	NA
MSMEG_2894	NA
MSMEG_2895	-5.20
MSMEG_2896	NA
MSMEG_2897	0.00
MSMEG_2898	-1.50
MSMEG_2899	-1.00
MSMEG_2900	-1.00
MSMEG_2901	-10.80
MSMEG_2902	-1.80
MSMEG_2904	NA
MSMEG_2905	NA
MSMEG_2906	NA
MSMEG_2907	NA
MSMEG_2908	NA
MSMEG_2909	NA
MSMEG_2910	NA
MSMEG_2911	-0.70
MSMEG_2912	NA
MSMEG_2913	NA
MSMEG_2914	NA
MSMEG_2915	NA
MSMEG_2916	NA
MSMEG_2917	NA
MSMEG_2918	NA
MSMEG_2919	-0.20
MSMEG_2920	NA
MSMEG_2921	NA
MSMEG_2922	NA
MSMEG_2923	-0.20
MSMEG_2924	NA
MSMEG_2925	NA
MSMEG_2926	NA
MSMEG_2927	NA
MSMEG_2928	NA
MSMEG_2929	-1.20
MSMEG_2930	NA
MSMEG_2931	0.00
MSMEG_2932	-2.00
MSMEG_2933	NA
MSMEG_2934	-7.80
MSMEG_2935	NA
MSMEG_2936	-3.00
MSMEG_2937	0.00
MSMEG_2938	NA
MSMEG_2939	NA
MSMEG_2940	-0.60
MSMEG_2941	-1.90
MSMEG_2942	-0.50
MSMEG_2943	-0.20
MSMEG_2944	NA
MSMEG_2945	NA
MSMEG_2946	-3.50
MSMEG_2947	-1.00
MSMEG_2948	NA
MSMEG_2949	NA
MSMEG_2950	NA
MSMEG_2951	NA
MSMEG_2952	NA
MSMEG_2953	-1.90
MSMEG_2954	NA
MSMEG_2955	NA
MSMEG_2956	-3.80
MSMEG_2957	-2.90
MSMEG_2958	NA
MSMEG_2959	0.00
MSMEG_2960	-4.20
MSMEG_2961	-0.30
MSMEG_2962	NA
MSMEG_2963	NA
MSMEG_2964	-3.40
MSMEG_2965	-1.00
MSMEG_2966	NA
MSMEG_2967	NA
MSMEG_2968	NA
MSMEG_2969	NA
MSMEG_2970	NA
MSMEG_2971	NA
MSMEG_2972	NA
MSMEG_2973	-7.60
MSMEG_2974	0.00
MSMEG_2975	-1.00
MSMEG_2976	-6.60
MSMEG_2977	NA
MSMEG_2978	NA
MSMEG_2979	NA
MSMEG_2980	NA
MSMEG_2981	NA
MSMEG_2982	-3.00
MSMEG_2983	0.00
MSMEG_2984	NA
MSMEG_2985	NA
MSMEG_2986	NA
MSMEG_2988	NA
MSMEG_2989	-2.50
MSMEG_2990	NA
MSMEG_2991	NA
MSMEG_2992	NA
MSMEG_2993	NA
MSMEG_2994	-0.50
MSMEG_2995	NA
MSMEG_2996	NA
MSMEG_2997	NA
MSMEG_2998	NA
MSMEG_2999	NA
MSMEG_3000	-6.50
MSMEG_3001	NA
MSMEG_3002	-6.10
MSMEG_3003	0.00
MSMEG_3004	NA
MSMEG_3005	NA
MSMEG_3006	NA
MSMEG_3007	NA
MSMEG_3008	-2.40
MSMEG_3009	NA
MSMEG_3010	NA
MSMEG_3011	NA
MSMEG_3012	NA
MSMEG_3013	-1.50
MSMEG_3014	-2.80
MSMEG_3015	-2.50
MSMEG_3016	-0.30
MSMEG_3017	-2.50
MSMEG_3018	NA
MSMEG_3019	-1.30
MSMEG_3020	-2.00
MSMEG_3021	NA
MSMEG_3022	NA
MSMEG_3024	NA
MSMEG_3025	-0.60
MSMEG_3026	NA
MSMEG_3027	NA
MSMEG_3028	NA
MSMEG_3029	-6.20
MSMEG_3030	-2.30
MSMEG_3031	NA
MSMEG_3032	-2.10
MSMEG_3033	0.00
MSMEG_3034	-1.60
MSMEG_3035	-6.60
MSMEG_3036	NA
MSMEG_3038	NA
MSMEG_3039	NA
MSMEG_3040	-0.10
MSMEG_3041	-0.30
MSMEG_3042	-3.60
MSMEG_3043	NA
MSMEG_3044	NA
MSMEG_3045	-2.60
MSMEG_3046	-3.60
MSMEG_3047	NA
MSMEG_3048	NA
MSMEG_3049	NA
MSMEG_3050	-1.20
MSMEG_3051	NA
MSMEG_3052	NA
MSMEG_3053	-0.40
MSMEG_3054	NA
MSMEG_3055	0.00
MSMEG_3056	-0.50
MSMEG_3057	-3.50
MSMEG_3058	NA
MSMEG_3059	-2.40
MSMEG_3060	-3.60
MSMEG_3061	NA
MSMEG_3062	-10.50
MSMEG_3063	NA
MSMEG_3064	0.00
MSMEG_3065	-3.90
MSMEG_3066	-1.30
MSMEG_3067	NA
MSMEG_3068	-3.40
MSMEG_3069	NA
MSMEG_3070	-2.70
MSMEG_3071	-1.30
MSMEG_3072	-4.10
MSMEG_3073	NA
MSMEG_3074	NA
MSMEG_3075	NA
MSMEG_3076	-3.10
MSMEG_3077	NA
MSMEG_3078	-1.10
MSMEG_3079	-2.70
MSMEG_3080	-3.60
MSMEG_3081	-4.20
MSMEG_3082	-3.00
MSMEG_3083	NA
MSMEG_3084	-1.40
MSMEG_3085	-0.30
MSMEG_3086	-4.30
MSMEG_3087	-4.00
MSMEG_3089	NA
MSMEG_3090	NA
MSMEG_3091	NA
MSMEG_3092	NA
MSMEG_3093	NA
MSMEG_3094	NA
MSMEG_3095	-0.90
MSMEG_3096	NA
MSMEG_3097	NA
MSMEG_3098	0.00
MSMEG_3099	NA
MSMEG_3100	NA
MSMEG_3101	NA
MSMEG_3102	NA
MSMEG_3103	-0.90
MSMEG_3104	NA
MSMEG_3105	NA
MSMEG_3106	NA
MSMEG_3107	-1.90
MSMEG_3108	NA
MSMEG_3109	NA
MSMEG_3110	NA
MSMEG_3111	-5.50
MSMEG_3112	NA
MSMEG_3113	NA
MSMEG_3114	NA
MSMEG_3115	NA
MSMEG_3116	NA
MSMEG_3117	-4.20
MSMEG_3118	NA
MSMEG_3119	-2.50
MSMEG_3120	NA
MSMEG_3121	-2.80
MSMEG_3122	-1.90
MSMEG_3123	NA
MSMEG_3124	NA
MSMEG_3125	NA
MSMEG_3126	NA
MSMEG_3127	NA
MSMEG_3128	NA
MSMEG_3129	-2.90
MSMEG_3130	NA
MSMEG_3131	NA
MSMEG_3132	-0.60
MSMEG_3133	NA
MSMEG_3134	NA
MSMEG_3135	NA
MSMEG_3136	NA
MSMEG_3137	NA
MSMEG_3138	0.00
MSMEG_3139	NA
MSMEG_3140	-5.80
MSMEG_3141	-2.00
MSMEG_3142	NA
MSMEG_3143	-2.80
MSMEG_3144	-1.10
MSMEG_3145	0.00
MSMEG_3146	NA
MSMEG_3147	-9.50
MSMEG_3148	NA
MSMEG_3149	NA
MSMEG_3150	-2.70
MSMEG_3151	NA
MSMEG_3152	NA
MSMEG_3153	-2.10
MSMEG_3154	NA
MSMEG_3155	-8.40
MSMEG_3156	NA
MSMEG_3157	-0.40
MSMEG_3158	NA
MSMEG_3159	-6.10
MSMEG_3160	-3.00
MSMEG_3161	-0.20
MSMEG_3162	-7.60
MSMEG_3163	-3.50
MSMEG_3164	NA
MSMEG_3165	-3.60
MSMEG_3166	NA
MSMEG_3167	NA
MSMEG_3168	-1.60
MSMEG_3169	-4.20
MSMEG_3170	NA
MSMEG_3171	-2.00
MSMEG_3172	NA
MSMEG_3173	-1.60
MSMEG_3174	-5.60
MSMEG_3175	NA
MSMEG_3176	NA
MSMEG_3177	NA
MSMEG_3178	-0.30
MSMEG_3179	NA
MSMEG_3180	-0.80
MSMEG_3181	NA
MSMEG_3182	NA
MSMEG_3183	-2.50
MSMEG_3184	NA
MSMEG_3186	-2.50
MSMEG_3187	0.00
MSMEG_3188	-4.20
MSMEG_3189	-4.00
MSMEG_3190	NA
MSMEG_3191	-6.80
MSMEG_3192	NA
MSMEG_3193	-1.30
MSMEG_3194	-3.80
MSMEG_3195	NA
MSMEG_3196	-0.20
MSMEG_3197	-2.60
MSMEG_3198	NA
MSMEG_3199	-1.00
MSMEG_3200	NA
MSMEG_3201	NA
MSMEG_3202	NA
MSMEG_3203	-0.60
MSMEG_3204	0.00
MSMEG_3205	NA
MSMEG_3206	NA
MSMEG_3207	NA
MSMEG_3208	NA
MSMEG_3209	NA
MSMEG_3210	NA
MSMEG_3211	NA
MSMEG_3212	NA
MSMEG_3213	NA
MSMEG_3214	NA
MSMEG_3215	-5.80
MSMEG_3216	0.00
MSMEG_3217	-0.60
MSMEG_3218	NA
MSMEG_3219	-3.10
MSMEG_3220	NA
MSMEG_3221	NA
MSMEG_3222	NA
MSMEG_3223	-3.50
MSMEG_3224	NA
MSMEG_3225	-6.80
MSMEG_3226	NA
MSMEG_3227	-1.30
MSMEG_3228	-4.40
MSMEG_3229	NA
MSMEG_3231	NA
MSMEG_3232	NA
MSMEG_3233	-2.80
MSMEG_3234	NA
MSMEG_3235	-10.40
MSMEG_3236	-5.90
MSMEG_3237	0.00
MSMEG_3238	-2.90
MSMEG_3239	-1.40
MSMEG_3240	NA
MSMEG_3241	NA
MSMEG_3242	NA
MSMEG_3244	NA
MSMEG_3246	-2.00
MSMEG_3247	-4.60
MSMEG_3248	-4.70
MSMEG_3249	-5.80
MSMEG_3250	-5.50
MSMEG_3251	NA
MSMEG_3252	-2.90
MSMEG_3253	-3.10
MSMEG_3254	NA
MSMEG_3255	NA
MSMEG_3256	-4.50
MSMEG_3257	-2.90
MSMEG_3258	NA
MSMEG_3259	-4.90
MSMEG_3260	NA
MSMEG_3261	NA
MSMEG_3262	NA
MSMEG_3263	-1.10
MSMEG_3264	-0.50
MSMEG_3265	-0.90
MSMEG_3266	NA
MSMEG_3267	NA
MSMEG_3268	NA
MSMEG_3269	NA
MSMEG_3270	NA
MSMEG_3271	NA
MSMEG_3272	NA
MSMEG_3273	NA
MSMEG_3274	NA
MSMEG_3275	-2.50
MSMEG_3276	NA
MSMEG_3277	NA
MSMEG_3278	-2.00
MSMEG_3279	NA
MSMEG_3280	-2.90
MSMEG_3281	-2.90
MSMEG_3282	NA
MSMEG_3283	0.00
MSMEG_3284	-3.40
MSMEG_3285	NA
MSMEG_3286	-3.00
MSMEG_3287	-2.30
MSMEG_3288	NA
MSMEG_3289	NA
MSMEG_3290	NA
MSMEG_3291	NA
MSMEG_3292	-1.50
MSMEG_3293	NA
MSMEG_3294	NA
MSMEG_3295	NA
MSMEG_3296	NA
MSMEG_3297	-15.70
MSMEG_3298	NA
MSMEG_3300	NA
MSMEG_3301	NA
MSMEG_3302	NA
MSMEG_3303	NA
MSMEG_3304	-5.30
MSMEG_3305	NA
MSMEG_3306	-0.10
MSMEG_3308	-2.50
MSMEG_3309	0.00
MSMEG_3310	NA
MSMEG_3311	NA
MSMEG_3312	-1.40
MSMEG_3313	NA
MSMEG_3314	-5.00
MSMEG_3315	NA
MSMEG_3316	NA
MSMEG_3317	-7.60
MSMEG_3318	NA
MSMEG_3319	0.00
MSMEG_3321	NA
MSMEG_3322	NA
MSMEG_3323	-0.30
MSMEG_3324	NA
MSMEG_3325	-1.80
MSMEG_3326	NA
MSMEG_3327	0.00
MSMEG_3328	NA
MSMEG_3329	NA
MSMEG_3330	NA
MSMEG_3331	NA
MSMEG_3332	-6.30
MSMEG_3334	NA
MSMEG_3335	-1.10
MSMEG_3336	-1.80
MSMEG_3337	-1.40
MSMEG_3338	0.00
MSMEG_3339	NA
MSMEG_3340	NA
MSMEG_3341	-5.10
MSMEG_3342	-1.10
MSMEG_3343	NA
MSMEG_3344	-2.30
MSMEG_3345	-2.70
MSMEG_3346	-0.10
MSMEG_3347	NA
MSMEG_3348	NA
MSMEG_3349	NA
MSMEG_3350	NA
MSMEG_3351	NA
MSMEG_3352	0.00
MSMEG_3353	NA
MSMEG_3354	NA
MSMEG_3355	NA
MSMEG_3356	NA
MSMEG_3357	0.00
MSMEG_3358	-1.10
MSMEG_3359	0.00
MSMEG_3360	-2.10
MSMEG_3361	-4.40
MSMEG_3362	NA
MSMEG_3363	-1.10
MSMEG_3364	NA
MSMEG_3365	0.00
MSMEG_3366	NA
MSMEG_3367	NA
MSMEG_3368	NA
MSMEG_3369	NA
MSMEG_3370	-4.90
MSMEG_3372	NA
MSMEG_3373	NA
