gene	Pattern_cls_logPhase
MSMEG_2806	Med-fast
MSMEG_2810	Slow
MSMEG_2811	Slow
MSMEG_2813	Med-fast
MSMEG_2814	Med-fast
MSMEG_2817	Med-fast
MSMEG_2818	Med-fast
MSMEG_2819	Fast
MSMEG_2820	Fast
MSMEG_2822	Slow
MSMEG_2823	Med-fast
MSMEG_2824	Med-fast
MSMEG_2826	Med-fast
MSMEG_2827	Med-fast
MSMEG_2828	Med-fast
MSMEG_2829	Med-fast
MSMEG_2830	Med-slow
MSMEG_2839	Fast
MSMEG_2840	Med-fast
MSMEG_2845	Med-slow
MSMEG_2850	Med-fast
MSMEG_2858	Med-fast
MSMEG_2866	Slow
MSMEG_2867	Med-fast
MSMEG_2868	Fast
MSMEG_2869	Med-slow
MSMEG_2872	Slow
MSMEG_2873	Med-fast
MSMEG_2874	Slow
MSMEG_2877	Med-fast
MSMEG_2879	Slow
MSMEG_2881	Med-fast
MSMEG_2883	Fast
MSMEG_2884	Med-slow
MSMEG_2890	Med-slow
MSMEG_2891	Slow
MSMEG_2895	Med-fast
MSMEG_2896	Med-fast
MSMEG_2898	Med-fast
MSMEG_2899	Slow
MSMEG_2900	Slow
MSMEG_2901	Med-fast
MSMEG_2902	Med-fast
MSMEG_2906	Slow
MSMEG_2907	Med-fast
MSMEG_2908	Med-fast
MSMEG_2909	Fast
MSMEG_2910	Med-slow
MSMEG_2912	Med-fast
MSMEG_2914	Med-slow
MSMEG_2915	Fast
MSMEG_2917	Med-fast
MSMEG_2918	Med-fast
MSMEG_2919	Med-fast
MSMEG_2920	Slow
MSMEG_2921	Med-fast
MSMEG_2923	Fast
MSMEG_2928	Med-slow
MSMEG_2929	Fast
MSMEG_2930	Fast
MSMEG_2931	Fast
MSMEG_2932	Fast
MSMEG_2933	Med-fast
MSMEG_2934	Slow
MSMEG_2936	Slow
MSMEG_2937	Slow
MSMEG_2938	Slow
MSMEG_2939	Med-fast
MSMEG_2940	Med-fast
MSMEG_2941	Slow
MSMEG_2942	Slow
MSMEG_2943	Med-fast
MSMEG_2944	Med-fast
MSMEG_2945	Fast
MSMEG_2946	Fast
MSMEG_2947	Med-fast
MSMEG_2948	Med-fast
MSMEG_2949	Slow
MSMEG_2953	Slow
MSMEG_2954	Slow
MSMEG_2955	Med-fast
MSMEG_2956	Med-fast
MSMEG_2957	Med-fast
MSMEG_2959	Med-fast
MSMEG_2960	Fast
MSMEG_2961	Med-fast
MSMEG_2962	Med-fast
MSMEG_2965	Slow
MSMEG_2969	Med-slow
MSMEG_2971	Med-fast
MSMEG_2972	Med-slow
MSMEG_2973	Med-fast
MSMEG_2974	Slow
MSMEG_2975	Med-fast
MSMEG_2976	Med-fast
MSMEG_2977	Fast
MSMEG_2981	Slow
MSMEG_2983	Slow
MSMEG_2984	Slow
MSMEG_2989	Fast
MSMEG_2990	Fast
MSMEG_2991	Med-fast
MSMEG_2993	Med-fast
MSMEG_2998	Med-fast
MSMEG_2999	Fast
MSMEG_3000	Med-fast
MSMEG_3002	Med-fast
MSMEG_3003	Fast
MSMEG_3004	Fast
MSMEG_3005	Slow
MSMEG_3013	Med-fast
MSMEG_3014	Fast
MSMEG_3015	Med-slow
MSMEG_3016	Med-fast
MSMEG_3017	Med-fast
MSMEG_3018	Med-fast
MSMEG_3020	Slow
MSMEG_3021	Med-fast
MSMEG_3024	Med-fast
MSMEG_3025	Med-fast
MSMEG_3026	Med-fast
MSMEG_3027	Slow
MSMEG_3030	Med-fast
MSMEG_3031	Fast
MSMEG_3032	Med-fast
MSMEG_3033	Med-fast
MSMEG_3034	Med-fast
MSMEG_3035	Med-fast
MSMEG_3036	Med-fast
MSMEG_3039	Fast
MSMEG_3040	Fast
MSMEG_3041	Med-fast
MSMEG_3042	Fast
MSMEG_3043	Fast
MSMEG_3044	Med-fast
MSMEG_3045	Med-fast
MSMEG_3046	Slow
MSMEG_3050	Slow
MSMEG_3051	Med-slow
MSMEG_3053	Med-fast
MSMEG_3054	Fast
MSMEG_3055	Med-fast
MSMEG_3056	Slow
MSMEG_3057	Slow
MSMEG_3059	Slow
MSMEG_3060	Med-slow
MSMEG_3061	Med-fast
MSMEG_3062	Med-fast
MSMEG_3063	Slow
MSMEG_3064	Med-fast
MSMEG_3065	Med-fast
MSMEG_3066	Med-fast
MSMEG_3067	Med-fast
MSMEG_3068	Fast
MSMEG_3069	Med-fast
MSMEG_3070	Med-fast
MSMEG_3071	Fast
MSMEG_3072	Fast
MSMEG_3073	Fast
MSMEG_3074	Fast
MSMEG_3075	Fast
MSMEG_3076	Med-fast
MSMEG_3077	Slow
MSMEG_3078	Fast
MSMEG_3079	Med-fast
MSMEG_3080	Slow
MSMEG_3081	Slow
MSMEG_3084	Slow
MSMEG_3085	Slow
MSMEG_3087	Slow
MSMEG_3091	Med-fast
MSMEG_3092	Med-fast
MSMEG_3093	Slow
MSMEG_3094	Slow
MSMEG_3095	Med-slow
MSMEG_3097	Fast
MSMEG_3103	Slow
MSMEG_3105	Med-fast
MSMEG_3106	Slow
MSMEG_3107	Med-slow
MSMEG_3108	Slow
MSMEG_3109	Slow
MSMEG_3110	Med-fast
MSMEG_3111	Med-fast
MSMEG_3112	Fast
MSMEG_3113	Fast
MSMEG_3115	Fast
MSMEG_3116	Med-fast
MSMEG_3117	Slow
MSMEG_3118	Med-fast
MSMEG_3119	Fast
MSMEG_3120	Med-fast
MSMEG_3121	Med-slow
MSMEG_3122	Fast
MSMEG_3123	Med-fast
MSMEG_3124	Med-fast
MSMEG_3126	Slow
MSMEG_3128	Fast
MSMEG_3129	Med-fast
MSMEG_3132	Med-fast
MSMEG_3134	Fast
MSMEG_3135	Slow
MSMEG_3136	Slow
MSMEG_3137	Slow
MSMEG_3138	Med-fast
MSMEG_3139	Med-fast
MSMEG_3140	Fast
MSMEG_3141	Fast
MSMEG_3142	Slow
MSMEG_3143	Slow
MSMEG_3144	Fast
MSMEG_3145	Fast
MSMEG_3146	Fast
MSMEG_3147	Slow
MSMEG_3148	Slow
MSMEG_3149	Med-fast
MSMEG_3150	Slow
MSMEG_3151	Slow
MSMEG_3153	Med-fast
MSMEG_3154	Med-fast
MSMEG_3155	Med-fast
MSMEG_3156	Med-fast
MSMEG_3157	Med-fast
MSMEG_3158	Med-fast
MSMEG_3159	Med-fast
MSMEG_3163	Fast
MSMEG_3164	Fast
MSMEG_3165	Med-fast
MSMEG_3166	Med-fast
MSMEG_3168	Med-slow
MSMEG_3169	Med-fast
MSMEG_3170	Fast
MSMEG_3171	Med-fast
MSMEG_3172	Slow
MSMEG_3173	Slow
MSMEG_3174	Med-fast
MSMEG_3175	Med-fast
MSMEG_3176	Fast
MSMEG_3177	Med-fast
MSMEG_3178	Med-fast
MSMEG_3181	Slow
MSMEG_3183	Med-fast
MSMEG_3186	Med-fast
MSMEG_3187	Fast
MSMEG_3188	Med-fast
MSMEG_3189	Med-slow
MSMEG_3190	Slow
MSMEG_3191	Med-fast
MSMEG_3192	Fast
MSMEG_3194	Fast
MSMEG_3195	Med-fast
MSMEG_3196	Med-fast
MSMEG_3197	Fast
MSMEG_3198	Med-fast
MSMEG_3199	Med-fast
MSMEG_3200	Med-slow
MSMEG_3203	Med-fast
MSMEG_3204	Med-fast
MSMEG_3205	Med-fast
MSMEG_3206	Fast
MSMEG_3207	Med-fast
MSMEG_3208	Med-fast
MSMEG_3213	Slow
MSMEG_3214	Med-fast
MSMEG_3215	Med-fast
MSMEG_3216	Med-fast
MSMEG_3217	Med-fast
MSMEG_3218	Fast
MSMEG_3219	Med-fast
MSMEG_3220	Med-fast
MSMEG_3221	Med-fast
MSMEG_3224	Slow
MSMEG_3225	Med-fast
MSMEG_3227	Slow
MSMEG_3228	Med-fast
MSMEG_3232	Med-fast
MSMEG_3233	Med-fast
MSMEG_3234	Fast
MSMEG_3235	Slow
MSMEG_3236	Slow
MSMEG_3237	Med-fast
MSMEG_3238	Med-fast
MSMEG_3239	Med-fast
MSMEG_3240	Slow
MSMEG_3241	Slow
MSMEG_3244	Med-slow
MSMEG_3246	Med-fast
MSMEG_3247	Slow
MSMEG_3248	Med-fast
MSMEG_3249	Slow
MSMEG_3253	Med-fast
MSMEG_3257	Med-fast
MSMEG_3258	Med-fast
MSMEG_3259	Med-fast
MSMEG_3260	Slow
MSMEG_3261	Med-fast
MSMEG_3262	Fast
MSMEG_3263	Fast
MSMEG_3264	Med-fast
MSMEG_3265	Slow
MSMEG_3266	Med-fast
MSMEG_3267	Med-fast
MSMEG_3268	Slow
MSMEG_3274	Slow
MSMEG_3276	Med-fast
MSMEG_3278	Med-fast
MSMEG_3279	Med-fast
MSMEG_3280	Med-fast
MSMEG_3281	Fast
MSMEG_3283	Med-slow
MSMEG_3284	Med-fast
MSMEG_3285	Med-fast
MSMEG_3286	Fast
MSMEG_3287	Med-fast
MSMEG_3290	Fast
MSMEG_3297	Fast
MSMEG_3298	Fast
MSMEG_3300	Slow
MSMEG_3301	Slow
MSMEG_3302	Slow
MSMEG_3303	Med-fast
MSMEG_3304	Med-fast
MSMEG_3306	Med-fast
MSMEG_3308	Med-fast
MSMEG_3309	Med-fast
MSMEG_3310	Fast
MSMEG_3311	Slow
MSMEG_3312	Slow
MSMEG_3313	Med-fast
MSMEG_3314	Slow
MSMEG_3316	Fast
MSMEG_3317	Slow
MSMEG_3319	Med-fast
MSMEG_3321	Fast
MSMEG_3324	Slow
MSMEG_3325	Slow
MSMEG_3328	Med-fast
MSMEG_3331	Med-fast
MSMEG_3334	Fast
MSMEG_3335	Fast
MSMEG_3336	Med-fast
MSMEG_3338	Med-fast
MSMEG_3341	Med-fast
MSMEG_3343	Fast
MSMEG_3344	Fast
MSMEG_3345	Fast
MSMEG_3346	Med-fast
MSMEG_3348	Med-fast
MSMEG_3349	Med-fast
MSMEG_3350	Slow
MSMEG_3353	Slow
MSMEG_3355	Med-fast
MSMEG_3356	Slow
MSMEG_3357	Med-fast
MSMEG_3358	Fast
MSMEG_3359	Slow
MSMEG_3360	Fast
MSMEG_3363	Fast
MSMEG_3364	Fast
MSMEG_3365	Fast
MSMEG_3366	Slow
MSMEG_3369	Med-fast
MSMEG_3373	Fast
MSMEG_3375	Med-fast
MSMEG_3376	Med-fast
MSMEG_3377	Fast
MSMEG_3378	Med-fast
MSMEG_3379	Med-fast
MSMEG_3380	Med-fast
MSMEG_3381	Med-fast
MSMEG_3382	Med-fast
MSMEG_3383	Med-fast
MSMEG_3384	Slow
MSMEG_3385	Med-fast
MSMEG_3386	Med-fast
MSMEG_3389	Med-fast
MSMEG_3391	Med-fast
MSMEG_3392	Slow
MSMEG_3393	Slow
MSMEG_3394	Slow
MSMEG_3396	Med-fast
MSMEG_3397	Med-fast
MSMEG_3398	Med-fast
MSMEG_3400	Fast
MSMEG_3401	Med-fast
MSMEG_3404	Slow
MSMEG_3406	Slow
MSMEG_3408	Med-slow
MSMEG_3409	Slow
MSMEG_3411	Med-fast
MSMEG_3414	Med-fast
MSMEG_3420	Med-fast
MSMEG_3421	Fast
MSMEG_3422	Slow
MSMEG_3423	Med-fast
MSMEG_3424	Med-fast
MSMEG_3425	Med-fast
MSMEG_3426	Med-fast
MSMEG_3430	Med-fast
MSMEG_3432	Fast
MSMEG_3433	Med-fast
MSMEG_3434	Slow
MSMEG_3435	Med-fast
MSMEG_3436	Fast
MSMEG_3437	Med-fast
MSMEG_3440	Med-fast
MSMEG_3441	Med-slow
MSMEG_3442	Fast
MSMEG_3443	Fast
MSMEG_3444	Med-fast
MSMEG_3445	Fast
MSMEG_3448	Med-fast
MSMEG_3451	Fast
MSMEG_3453	Med-fast
MSMEG_3454	Med-fast
MSMEG_3455	Med-fast
MSMEG_3456	Fast
MSMEG_3457	Fast
MSMEG_3458	Fast
MSMEG_3459	Med-fast
MSMEG_3460	Slow
MSMEG_3463	Slow
MSMEG_3464	Med-fast
MSMEG_3465	Fast
MSMEG_3467	Med-slow
MSMEG_3468	Med-fast
MSMEG_3470	Slow
MSMEG_3471	Med-fast
MSMEG_3472	Fast
MSMEG_3473	Med-fast
MSMEG_3475	Fast
MSMEG_3476	Fast
MSMEG_3477	Fast
MSMEG_3478	Slow
MSMEG_3479	Slow
MSMEG_3480	Med-fast
MSMEG_3481	Med-fast
MSMEG_3482	Fast
MSMEG_3483	Med-fast
MSMEG_3485	Slow
MSMEG_3487	Slow
MSMEG_3488	Med-fast
MSMEG_3489	Fast
MSMEG_3490	Fast
MSMEG_3491	Fast
MSMEG_3492	Med-fast
MSMEG_3493	Fast
MSMEG_3494	Fast
MSMEG_3495	Fast
MSMEG_3496	Med-fast
MSMEG_3497	Med-slow
MSMEG_3499	Slow
MSMEG_3500	Med-fast
MSMEG_3501	Fast
MSMEG_3503	Med-fast
MSMEG_3504	Med-fast
MSMEG_3505	Slow
MSMEG_3506	Med-fast
MSMEG_3507	Slow
MSMEG_3508	Slow
MSMEG_3509	Med-fast
MSMEG_3511	Med-fast
MSMEG_3512	Med-fast
MSMEG_3513	Med-fast
MSMEG_3514	Fast
MSMEG_3515	Med-fast
MSMEG_3518	Med-fast
MSMEG_3519	Slow
MSMEG_3521	Med-fast
MSMEG_3522	Fast
MSMEG_3524	Med-fast
MSMEG_3525	Slow
MSMEG_3527	Med-slow
MSMEG_3528	Med-slow
MSMEG_3529	Med-slow
MSMEG_3530	Fast
MSMEG_3531	Fast
MSMEG_3532	Med-fast
MSMEG_3534	Fast
MSMEG_3535	Fast
MSMEG_3536	Med-fast
MSMEG_3538	Fast
MSMEG_3540	Med-fast
MSMEG_3542	Slow
MSMEG_3544	Med-fast
MSMEG_3545	Med-slow
MSMEG_3546	Fast
MSMEG_3551	Slow
MSMEG_3552	Med-fast
MSMEG_3557	Med-fast
MSMEG_3559	Slow
MSMEG_3560	Fast
MSMEG_3561	Med-fast
MSMEG_3563	Slow
MSMEG_3566	Fast
MSMEG_3567	Med-fast
MSMEG_3568	Med-fast
MSMEG_3569	Med-fast
MSMEG_3570	Med-fast
MSMEG_3573	Med-fast
MSMEG_3574	Med-fast
MSMEG_3575	Med-fast
MSMEG_3576	Med-fast
MSMEG_3577	Med-slow
MSMEG_3578	Med-fast
MSMEG_3579	Med-fast
MSMEG_3580	Slow
MSMEG_3582	Slow
MSMEG_3583	Med-fast
MSMEG_3589	Med-fast
MSMEG_3591	Med-fast
MSMEG_3592	Med-fast
MSMEG_3593	Fast
MSMEG_3594	Med-fast
MSMEG_3595	Med-fast
MSMEG_3596	Med-fast
MSMEG_3602	Slow
MSMEG_3603	Med-fast
MSMEG_3604	Med-fast
MSMEG_3605	Med-fast
MSMEG_3606	Med-slow
MSMEG_3607	Med-fast
MSMEG_3608	Med-fast
MSMEG_3609	Med-fast
MSMEG_3611	Med-fast
MSMEG_3612	Med-fast
MSMEG_3614	Fast
MSMEG_3615	Med-fast
MSMEG_3616	Slow
MSMEG_3618	Med-fast
MSMEG_3619	Fast
MSMEG_3620	Slow
MSMEG_3621	Med-fast
MSMEG_3624	Slow
MSMEG_3625	Med-fast
MSMEG_3626	Med-fast
MSMEG_3627	Med-fast
MSMEG_3628	Med-fast
MSMEG_3629	Med-fast
MSMEG_3630	Fast
MSMEG_3631	Med-fast
MSMEG_3632	Slow
MSMEG_3634	Slow
MSMEG_3635	Slow
MSMEG_3636	Slow
MSMEG_3637	Fast
MSMEG_3638	Fast
MSMEG_3639	Med-fast
MSMEG_3640	Med-fast
MSMEG_3641	Slow
MSMEG_3642	Med-fast
MSMEG_3644	Med-fast
MSMEG_3645	Med-fast
MSMEG_3646	Med-fast
MSMEG_3647	Slow
MSMEG_3648	Slow
MSMEG_3649	Med-fast
MSMEG_3650	Med-fast
MSMEG_3651	Med-fast
MSMEG_3652	Med-slow
MSMEG_3654	Med-fast
MSMEG_3655	Fast
MSMEG_3656	Med-fast
MSMEG_3657	Slow
MSMEG_3659	Med-fast
MSMEG_3660	Slow
MSMEG_3661	Med-fast
MSMEG_3663	Med-fast
MSMEG_3664	Med-fast
MSMEG_3665	Med-fast
MSMEG_3666	Fast
MSMEG_3667	Med-fast
MSMEG_3669	Fast
MSMEG_3670	Med-fast
MSMEG_3671	Med-fast
MSMEG_3672	Med-fast
MSMEG_3673	Slow
MSMEG_3674	Med-fast
MSMEG_3675	Med-fast
MSMEG_3676	Fast
MSMEG_3677	Fast
MSMEG_3678	Fast
MSMEG_3680	Slow
MSMEG_3681	Fast
MSMEG_3683	Fast
MSMEG_3684	Med-fast
MSMEG_3685	Med-fast
MSMEG_3686	Med-slow
MSMEG_3687	Fast
MSMEG_3688	Fast
MSMEG_3689	Fast
MSMEG_3691	Fast
MSMEG_3692	Med-fast
MSMEG_3693	Med-fast
MSMEG_3694	Med-fast
MSMEG_3696	Med-fast
MSMEG_3697	Med-fast
MSMEG_3698	Med-fast
MSMEG_3704	Slow
MSMEG_3705	Med-slow
MSMEG_3706	Slow
MSMEG_3708	Med-fast
MSMEG_3709	Fast
MSMEG_3710	Med-fast
MSMEG_3711	Fast
MSMEG_3713	Med-slow
MSMEG_3714	Slow
MSMEG_3715	Med-fast
MSMEG_3721	Med-fast
MSMEG_3722	Med-fast
MSMEG_3726	Med-slow
MSMEG_3729	Slow
MSMEG_3730	Slow
MSMEG_3731	Fast
MSMEG_3732	Fast
MSMEG_3733	Fast
MSMEG_3735	Med-fast
MSMEG_3736	Med-fast
MSMEG_3737	Slow
MSMEG_3738	Slow
MSMEG_3739	Med-fast
MSMEG_3740	Med-fast
MSMEG_3741	Fast
MSMEG_3742	Fast
MSMEG_3743	Med-fast
MSMEG_3744	Med-fast
MSMEG_3745	Med-fast
MSMEG_3746	Med-fast
MSMEG_3748	Slow
MSMEG_3750	Med-fast
MSMEG_3751	Med-fast
MSMEG_3752	Fast
MSMEG_3753	Med-fast
MSMEG_3754	Fast
MSMEG_3758	Med-fast
MSMEG_3759	Med-slow
MSMEG_3760	Med-fast
MSMEG_3761	Med-fast
MSMEG_3762	Fast
MSMEG_3763	Med-fast
MSMEG_3764	Slow
MSMEG_3765	Med-fast
MSMEG_3766	Med-fast
MSMEG_3767	Med-fast
MSMEG_3768	Fast
MSMEG_3773	Med-fast
MSMEG_3774	Med-fast
MSMEG_3775	Fast
MSMEG_3776	Med-fast
MSMEG_3777	Med-fast
MSMEG_3778	Med-fast
MSMEG_3779	Med-fast
MSMEG_3780	Med-fast
MSMEG_3782	Slow
MSMEG_3783	Med-fast
MSMEG_3784	Fast
MSMEG_3785	Med-fast
MSMEG_3786	Med-fast
MSMEG_3787	Med-fast
MSMEG_3788	Slow
MSMEG_3790	Slow
MSMEG_3791	Slow
MSMEG_3792	Slow
MSMEG_3793	Med-fast
MSMEG_3794	Med-slow
MSMEG_3795	Med-fast
MSMEG_3796	Med-fast
MSMEG_3797	Slow
MSMEG_3798	Fast
MSMEG_3799	Med-fast
MSMEG_3800	Med-fast
MSMEG_3801	Fast
MSMEG_3802	Med-fast
MSMEG_3803	Med-slow
MSMEG_3806	Fast
MSMEG_3807	Fast
MSMEG_3808	Slow
MSMEG_3809	Fast
MSMEG_3810	Med-fast
MSMEG_3811	Med-fast
MSMEG_3812	Fast
MSMEG_3815	Med-fast
MSMEG_3816	Fast
MSMEG_3817	Med-slow
MSMEG_3819	Fast
MSMEG_3821	Slow
MSMEG_3824	Slow
MSMEG_3826	Slow
MSMEG_3827	Med-fast
MSMEG_3831	Med-fast
MSMEG_3833	Med-fast
MSMEG_3834	Med-fast
MSMEG_3835	Slow
MSMEG_3836	Med-fast
MSMEG_3837	Med-fast
MSMEG_3838	Med-fast
MSMEG_3839	Med-fast
MSMEG_3840	Slow
MSMEG_3841	Med-slow
MSMEG_3843	Med-fast
MSMEG_3844	Med-fast
MSMEG_3845	Fast
MSMEG_3846	Slow
MSMEG_3847	Fast
MSMEG_3848	Fast
MSMEG_3850	Slow
MSMEG_3851	Med-fast
MSMEG_3852	Med-fast
MSMEG_3853	Fast
MSMEG_3855	Med-fast
MSMEG_3856	Fast
MSMEG_3857	Fast
MSMEG_3858	Med-fast
MSMEG_3859	Slow
MSMEG_3860	Med-fast
MSMEG_3861	Fast
MSMEG_3862	Slow
MSMEG_3863	Slow
MSMEG_3864	Med-fast
MSMEG_3866	Med-fast
MSMEG_3867	Med-fast
MSMEG_3869	Med-fast
MSMEG_3870	Med-fast
MSMEG_3871	Med-slow
MSMEG_3872	Med-fast
MSMEG_3873	Med-fast
MSMEG_3874	Med-fast
MSMEG_3875	Slow
MSMEG_3876	Slow
MSMEG_3877	Med-fast
MSMEG_3878	Med-fast
MSMEG_3879	Med-fast
MSMEG_3880	Med-fast
MSMEG_3881	Med-fast
MSMEG_3882	Med-fast
MSMEG_3883	Fast
MSMEG_3884	Slow
MSMEG_3885	Slow
MSMEG_3886	Fast
MSMEG_3887	Med-fast
MSMEG_3888	Fast
MSMEG_3890	Fast
MSMEG_3892	Slow
MSMEG_3893	Fast
MSMEG_3894	Med-fast
MSMEG_3895	Med-fast
MSMEG_3896	Med-fast
MSMEG_3897	Med-fast
MSMEG_3898	Med-fast
MSMEG_3899	Slow
MSMEG_3900	Med-fast
MSMEG_3901	Med-fast
MSMEG_3902	Med-fast
MSMEG_3904	Slow
MSMEG_3905	Med-fast
MSMEG_3906	Med-fast
MSMEG_3907	Med-slow
MSMEG_3908	Fast
MSMEG_3910	Fast
MSMEG_3913	Med-fast
MSMEG_3914	Med-fast
MSMEG_3915	Slow
MSMEG_3916	Med-fast
MSMEG_3917	Fast
MSMEG_3918	Fast
MSMEG_3919	Med-fast
MSMEG_3920	Fast
MSMEG_3922	Fast
MSMEG_3924	Fast
MSMEG_3957	Fast
MSMEG_3960	Med-slow
MSMEG_3961	Med-fast
MSMEG_3964	Med-fast
MSMEG_3966	Slow
MSMEG_3967	Slow
MSMEG_3968	Med-fast
MSMEG_3969	Med-fast
MSMEG_3975	Fast
MSMEG_3976	Med-fast
MSMEG_3977	Slow
MSMEG_3978	Med-fast
MSMEG_3980	Med-fast
MSMEG_3981	Slow
MSMEG_3982	Med-fast
MSMEG_3984	Med-fast
MSMEG_3985	Med-fast
MSMEG_3986	Slow
MSMEG_3988	Fast
MSMEG_3990	Med-fast
MSMEG_3991	Slow
MSMEG_3997	Fast
MSMEG_3998	Med-fast
MSMEG_3999	Med-slow
MSMEG_4000	Med-fast
MSMEG_4006	Fast
MSMEG_4007	Med-slow
MSMEG_4014	Med-fast
MSMEG_4016	Med-fast
MSMEG_4017	Fast
MSMEG_4022	Med-fast
MSMEG_4024	Fast
MSMEG_4029	Med-fast
MSMEG_4034	Med-fast
MSMEG_4036	Med-fast
MSMEG_4038	Slow
MSMEG_4040	Slow
MSMEG_4041	Med-fast
MSMEG_4042	Med-fast
MSMEG_4043	Med-fast
MSMEG_4044	Fast
MSMEG_4045	Med-fast
MSMEG_4046	Slow
MSMEG_4047	Slow
MSMEG_4050	Slow
MSMEG_4051	Slow
MSMEG_4053	Fast
MSMEG_4054	Fast
MSMEG_4057	Med-fast
MSMEG_4058	Med-fast
MSMEG_4059	Slow
MSMEG_4063	Med-fast
MSMEG_4064	Slow
MSMEG_4066	Med-fast
MSMEG_4067	Med-fast
MSMEG_4072	Slow
MSMEG_4075	Med-slow
MSMEG_4079	Med-fast
MSMEG_4081	Med-fast
MSMEG_4085	Med-fast
MSMEG_4086	Med-fast
MSMEG_4087	Med-fast
MSMEG_4088	Slow
MSMEG_4089	Med-fast
MSMEG_4090	Fast
MSMEG_4092	Slow
MSMEG_4093	Slow
MSMEG_4096	Med-slow
MSMEG_4100	Slow
MSMEG_4101	Fast
MSMEG_4105	Med-fast
MSMEG_4107	Slow
MSMEG_4108	Med-fast
MSMEG_4109	Slow
MSMEG_4114	Slow
MSMEG_4117	Med-fast
MSMEG_4118	Med-fast
MSMEG_4119	Med-fast
MSMEG_4120	Fast
MSMEG_4121	Fast
MSMEG_4122	Med-fast
MSMEG_4124	Med-fast
MSMEG_4125	Slow
MSMEG_4126	Slow
MSMEG_4127	Fast
MSMEG_4128	Fast
MSMEG_4130	Med-fast
MSMEG_4132	Med-fast
MSMEG_4133	Fast
MSMEG_4138	Fast
MSMEG_4140	Fast
MSMEG_4141	Med-fast
MSMEG_4142	Fast
MSMEG_4144	Med-fast
MSMEG_4145	Slow
MSMEG_4146	Med-fast
MSMEG_4147	Med-fast
MSMEG_4148	Slow
MSMEG_4149	Med-fast
MSMEG_4151	Fast
MSMEG_4152	Med-fast
MSMEG_4153	Med-slow
MSMEG_4155	Med-fast
MSMEG_4156	Slow
MSMEG_4159	Med-fast
MSMEG_4160	Med-fast
MSMEG_4161	Med-fast
MSMEG_4164	Slow
MSMEG_4166	Slow
MSMEG_4167	Slow
MSMEG_4168	Slow
MSMEG_4171	Med-fast
MSMEG_4175	Med-slow
MSMEG_4176	Med-fast
MSMEG_4179	Fast
MSMEG_4180	Fast
MSMEG_4182	Fast
MSMEG_4183	Slow
MSMEG_4185	Med-fast
MSMEG_4186	Fast
MSMEG_4187	Med-fast
MSMEG_4188	Med-fast
MSMEG_4189	Med-fast
MSMEG_4190	Med-fast
MSMEG_4191	Med-fast
MSMEG_4192	Fast
MSMEG_4193	Fast
MSMEG_4194	Fast
MSMEG_4195	Med-fast
MSMEG_4196	Fast
MSMEG_4197	Fast
MSMEG_4198	Med-fast
MSMEG_4200	Med-fast
MSMEG_4202	Med-fast
MSMEG_4205	Med-fast
MSMEG_4208	Med-fast
MSMEG_4210	Med-slow
MSMEG_4211	Med-fast
MSMEG_4212	Med-fast
MSMEG_4213	Med-fast
MSMEG_4214	Med-fast
MSMEG_4215	Fast
MSMEG_4216	Med-fast
MSMEG_4217	Med-fast
MSMEG_4218	Med-fast
MSMEG_4219	Med-fast
MSMEG_4220	Med-fast
MSMEG_4221	Med-fast
MSMEG_4222	Med-fast
MSMEG_4225	Med-fast
MSMEG_4226	Med-fast
MSMEG_4227	Med-fast
MSMEG_4228	Slow
MSMEG_4229	Slow
MSMEG_4230	Slow
MSMEG_4231	Med-fast
MSMEG_4232	Slow
MSMEG_4233	Slow
MSMEG_4234	Med-fast
MSMEG_4235	Fast
MSMEG_4236	Fast
MSMEG_4237	Fast
MSMEG_4238	Med-fast
MSMEG_4239	Med-fast
MSMEG_4240	Med-fast
MSMEG_4241	Med-fast
MSMEG_4242	Fast
MSMEG_4243	Med-fast
MSMEG_4244	Fast
MSMEG_4245	Med-fast
MSMEG_4246	Med-slow
MSMEG_4247	Med-fast
MSMEG_4248	Med-fast
MSMEG_4249	Med-slow
MSMEG_4250	Med-fast
MSMEG_4251	Med-fast
MSMEG_4252	Med-fast
MSMEG_4253	Med-fast
MSMEG_4254	Med-fast
MSMEG_4255	Fast
MSMEG_4256	Fast
MSMEG_4257	Fast
MSMEG_4258	Med-fast
MSMEG_4259	Med-fast
MSMEG_4260	Slow
MSMEG_4261	Slow
MSMEG_4262	Slow
MSMEG_4264	Slow
MSMEG_4265	Med-fast
MSMEG_4267	Med-fast
MSMEG_4268	Med-fast
MSMEG_4269	Fast
MSMEG_4270	Med-fast
MSMEG_4271	Med-fast
MSMEG_4272	Med-fast
MSMEG_4273	Fast
MSMEG_4274	Fast
MSMEG_4275	Med-slow
MSMEG_4276	Fast
MSMEG_4277	Med-slow
MSMEG_4278	Med-fast
MSMEG_4279	Slow
MSMEG_4280	Med-fast
MSMEG_4281	Slow
MSMEG_4282	Med-fast
MSMEG_4283	Slow
MSMEG_4284	Med-fast
MSMEG_4285	Slow
MSMEG_4286	Slow
MSMEG_4287	Slow
MSMEG_4288	Fast
MSMEG_4289	Med-fast
MSMEG_4291	Fast
MSMEG_4292	Slow
MSMEG_4293	Fast
MSMEG_4294	Med-fast
MSMEG_4295	Med-fast
MSMEG_4296	Fast
MSMEG_4297	Med-fast
MSMEG_4298	Fast
MSMEG_4299	Med-fast
