 	transcript_5p20nt_Avg_First5nt_UnpairedProb
MSMEG_2228	NA
MSMEG_2229	NA
MSMEG_2230	NA
MSMEG_2231	NA
MSMEG_2232	NA
MSMEG_2233	NA
MSMEG_2234	NA
MSMEG_2235	NA
MSMEG_2236	NA
MSMEG_2237	NA
MSMEG_2238	NA
MSMEG_2239	NA
MSMEG_2240	NA
MSMEG_2241	NA
MSMEG_2242	NA
MSMEG_2243	NA
MSMEG_2244	NA
MSMEG_2245	0.6709
MSMEG_2246	0.4597
MSMEG_2247	NA
MSMEG_2248	0.5597
MSMEG_2249	NA
MSMEG_2250	NA
MSMEG_2251	NA
MSMEG_2252	NA
MSMEG_2253	NA
MSMEG_2254	NA
MSMEG_2255	NA
MSMEG_2256	NA
MSMEG_2257	NA
MSMEG_2258	NA
MSMEG_2259	0.9957
MSMEG_2260	NA
MSMEG_2261	0.3278
MSMEG_2262	NA
MSMEG_2263	NA
MSMEG_2264	NA
MSMEG_2265	NA
MSMEG_2266	NA
MSMEG_2267	NA
MSMEG_2268	0.8248
MSMEG_2269	NA
MSMEG_2270	NA
MSMEG_2271	NA
MSMEG_2272	0.9065
MSMEG_2273	0.9642
MSMEG_2274	NA
MSMEG_2275	NA
MSMEG_2276	NA
MSMEG_2277	0.1370
MSMEG_2278	NA
MSMEG_2279	NA
MSMEG_2280	0.8016
MSMEG_2281	NA
MSMEG_2282	0.0522
MSMEG_2283	NA
MSMEG_2284	0.9612
MSMEG_2285	NA
MSMEG_2286	NA
MSMEG_2287	0.4762
MSMEG_2288	0.5593
MSMEG_2289	0.8084
MSMEG_2290	0.9603
MSMEG_2291	NA
MSMEG_2292	0.7015
MSMEG_2293	NA
MSMEG_2294	NA
MSMEG_2295	NA
MSMEG_2296	NA
MSMEG_2297	0.6804
MSMEG_2299	NA
MSMEG_2301	NA
MSMEG_2302	NA
MSMEG_2303	0.9642
MSMEG_2304	NA
MSMEG_2305	NA
MSMEG_2306	0.4255
MSMEG_2307	0.7473
MSMEG_2308	0.8171
MSMEG_2309	0.5828
MSMEG_2310	0.7930
MSMEG_2311	NA
MSMEG_2312	NA
MSMEG_2313	0.5735
MSMEG_2314	0.4810
MSMEG_2315	NA
MSMEG_2317	0.6016
MSMEG_2318	0.4650
MSMEG_2319	0.5872
MSMEG_2321	NA
MSMEG_2322	0.6521
MSMEG_2323	NA
MSMEG_2324	0.7442
MSMEG_2325	NA
MSMEG_2326	0.7567
MSMEG_2327	NA
MSMEG_2328	NA
MSMEG_2329	0.7936
MSMEG_2330	NA
MSMEG_2331	0.9999
MSMEG_2332	0.4870
MSMEG_2333	0.9527
MSMEG_2334	NA
MSMEG_2335	NA
MSMEG_2337	NA
MSMEG_2338	0.0522
MSMEG_2339	NA
MSMEG_2340	NA
MSMEG_2341	NA
MSMEG_2342	NA
MSMEG_2343	NA
MSMEG_2344	NA
MSMEG_2346	NA
MSMEG_2347	NA
MSMEG_2349	0.9994
MSMEG_2350	NA
MSMEG_2351	0.5001
MSMEG_2352	0.4494
MSMEG_2353	NA
MSMEG_2354	NA
MSMEG_2355	NA
MSMEG_2356	NA
MSMEG_2357	0.9680
MSMEG_2358	NA
MSMEG_2359	0.0475
MSMEG_2360	NA
MSMEG_2361	0.9620
MSMEG_2362	0.6669
MSMEG_2363	0.7396
MSMEG_2364	NA
MSMEG_2365	NA
MSMEG_2367	NA
MSMEG_2368	0.2275
MSMEG_2369	NA
MSMEG_2370	0.3974
MSMEG_2371	0.4218
MSMEG_2372	0.4016
MSMEG_2373	0.5308
MSMEG_2374	NA
MSMEG_2375	0.9752
MSMEG_2376	NA
MSMEG_2377	0.6408
MSMEG_2378	0.7735
MSMEG_2379	NA
MSMEG_2380	NA
MSMEG_2381	0.8492
MSMEG_2382	0.7224
MSMEG_2383	NA
MSMEG_2386	0.8922
MSMEG_2387	0.5694
MSMEG_2388	NA
MSMEG_2389	0.7997
MSMEG_2390	NA
MSMEG_2391	NA
MSMEG_2392	0.9083
MSMEG_2393	0.1232
MSMEG_2394	NA
MSMEG_2395	0.9099
MSMEG_2396	0.3631
MSMEG_2397	0.3961
MSMEG_2398	0.3492
MSMEG_2399	0.5623
MSMEG_2400	0.8627
MSMEG_2401	NA
MSMEG_2402	NA
MSMEG_2403	0.5981
MSMEG_2404	NA
MSMEG_2405	0.5979
MSMEG_2406	NA
MSMEG_2407	0.9867
MSMEG_2408	0.4621
MSMEG_2409	0.6287
MSMEG_2410	0.5171
MSMEG_2411	NA
MSMEG_2412	0.8870
MSMEG_2413	NA
MSMEG_2414	NA
MSMEG_2415	NA
MSMEG_2416	0.9586
MSMEG_2417	0.5914
MSMEG_2418	NA
MSMEG_2419	NA
MSMEG_2420	0.7739
MSMEG_2421	0.4130
MSMEG_2422	NA
MSMEG_2423	0.9681
MSMEG_2424	0.8115
MSMEG_2425	0.5179
MSMEG_2426	0.9437
MSMEG_2427	0.0743
MSMEG_2428	0.5252
MSMEG_2429	NA
MSMEG_2430	0.8533
MSMEG_2431	NA
MSMEG_2432	0.2616
MSMEG_2433	NA
MSMEG_2434	0.3721
MSMEG_2435	0.5818
MSMEG_2436	NA
MSMEG_2437	NA
MSMEG_2438	NA
MSMEG_2439	0.5765
MSMEG_2440	0.5775
MSMEG_2441	NA
MSMEG_2442	0.8692
MSMEG_2443	0.4806
MSMEG_2444	0.3666
MSMEG_2445	0.5070
MSMEG_2446	0.5193
MSMEG_2447	NA
MSMEG_2448	NA
MSMEG_2449	0.8469
MSMEG_2450	0.4398
MSMEG_2451	0.2023
MSMEG_2452	NA
MSMEG_2453	0.6787
MSMEG_2454	NA
MSMEG_2455	0.9570
MSMEG_2456	0.9826
MSMEG_2457	NA
MSMEG_2458	NA
MSMEG_2459	NA
MSMEG_2460	NA
MSMEG_2461	NA
MSMEG_2462	NA
MSMEG_2463	NA
MSMEG_2464	NA
MSMEG_2465	NA
MSMEG_2466	NA
MSMEG_2467	0.5628
MSMEG_2468	0.5705
MSMEG_2469	0.6734
MSMEG_2470	NA
MSMEG_2471	NA
MSMEG_2472	0.8233
MSMEG_2474	NA
MSMEG_2475	0.9948
MSMEG_2476	NA
MSMEG_2477	NA
MSMEG_2478	0.9914
MSMEG_2479	NA
MSMEG_2480	NA
MSMEG_2481	NA
MSMEG_2482	NA
MSMEG_2483	NA
MSMEG_2484	NA
MSMEG_2485	NA
MSMEG_2486	0.6293
MSMEG_2487	0.9664
MSMEG_2488	0.9414
MSMEG_2489	NA
MSMEG_2490	0.9917
MSMEG_2491	NA
MSMEG_2492	NA
MSMEG_2493	NA
MSMEG_2494	NA
MSMEG_2495	0.2157
MSMEG_2496	NA
MSMEG_2497	0.9769
MSMEG_2498	NA
MSMEG_2499	NA
MSMEG_2500	NA
MSMEG_2501	NA
MSMEG_2502	NA
MSMEG_2503	NA
MSMEG_2504	NA
MSMEG_2505	NA
MSMEG_2506	0.2666
MSMEG_2507	0.2491
MSMEG_2508	NA
MSMEG_2509	NA
MSMEG_2511	0.0069
MSMEG_2512	0.0035
MSMEG_2513	NA
MSMEG_2515	NA
MSMEG_2516	0.4445
MSMEG_2517	0.9602
MSMEG_2518	NA
MSMEG_2519	0.2091
MSMEG_2520	0.8076
MSMEG_2521	NA
MSMEG_2522	NA
MSMEG_2523	NA
MSMEG_2524	NA
MSMEG_2525	NA
MSMEG_2526	0.2011
MSMEG_2527	0.4029
MSMEG_2528	0.7674
MSMEG_2529	0.9403
MSMEG_2530	NA
MSMEG_2531	0.9013
MSMEG_2532	0.9763
MSMEG_2533	NA
MSMEG_2534	NA
MSMEG_2535	NA
MSMEG_2536	NA
MSMEG_2537	NA
MSMEG_2538	NA
MSMEG_2539	0.9607
MSMEG_2540	0.5215
MSMEG_2541	0.4895
MSMEG_2542	0.0019
MSMEG_2543	0.6572
MSMEG_2544	0.1954
MSMEG_2545	0.9443
MSMEG_2546	0.6360
MSMEG_2547	NA
MSMEG_2548	NA
MSMEG_2549	NA
MSMEG_2550	NA
MSMEG_2551	NA
MSMEG_2552	0.8444
MSMEG_2553	0.9850
MSMEG_2554	NA
MSMEG_2555	NA
MSMEG_2556	0.2058
MSMEG_2557	NA
MSMEG_2558	NA
MSMEG_2559	NA
MSMEG_2560	NA
MSMEG_2561	NA
MSMEG_2562	NA
MSMEG_2563	NA
MSMEG_2564	NA
MSMEG_2565	NA
MSMEG_2566	NA
MSMEG_2567	NA
MSMEG_2568	NA
MSMEG_2569	NA
MSMEG_2570	0.2196
MSMEG_2571	0.9273
MSMEG_2572	0.8935
MSMEG_2573	NA
MSMEG_2574	0.4612
MSMEG_2575	NA
MSMEG_2576	NA
MSMEG_2577	NA
MSMEG_2578	0.4744
MSMEG_2579	0.9379
MSMEG_2580	NA
MSMEG_2581	0.0013
MSMEG_2582	0.2953
MSMEG_2583	NA
MSMEG_2584	0.8056
MSMEG_2585	0.7397
MSMEG_2586	NA
MSMEG_2587	0.8592
MSMEG_2588	NA
MSMEG_2589	0.9896
MSMEG_2590	0.0323
MSMEG_2591	NA
MSMEG_2592	0.9487
MSMEG_2593	NA
MSMEG_2594	0.7875
MSMEG_2595	0.3613
MSMEG_2596	NA
MSMEG_2597	0.2145
MSMEG_2598	NA
MSMEG_2599	NA
MSMEG_2600	NA
MSMEG_2601	0.2478
MSMEG_2602	NA
MSMEG_2603	NA
MSMEG_2604	0.7806
MSMEG_2605	0.3817
MSMEG_2606	0.9915
MSMEG_2607	NA
MSMEG_2608	NA
MSMEG_2609	NA
MSMEG_2610	NA
MSMEG_2611	0.9832
MSMEG_2612	0.4299
MSMEG_2613	0.8613
MSMEG_2614	NA
MSMEG_2615	NA
MSMEG_2616	NA
MSMEG_2617	NA
MSMEG_2618	0.9342
MSMEG_2619	NA
MSMEG_2620	NA
MSMEG_2621	0.8299
MSMEG_2622	NA
MSMEG_2623	0.2704
MSMEG_2624	0.4353
MSMEG_2625	0.8188
MSMEG_2626	NA
MSMEG_2627	NA
MSMEG_2628	NA
MSMEG_2629	NA
MSMEG_2630	0.8546
MSMEG_2631	NA
MSMEG_2632	NA
MSMEG_2633	NA
MSMEG_2634	NA
MSMEG_2635	0.5921
MSMEG_2636	NA
MSMEG_2637	NA
MSMEG_2638	NA
MSMEG_2639	0.8459
MSMEG_2640	NA
MSMEG_2641	0.5798
MSMEG_2642	NA
MSMEG_2643	0.8709
MSMEG_2644	NA
MSMEG_2645	0.4336
MSMEG_2646	NA
MSMEG_2647	0.0289
MSMEG_2648	NA
MSMEG_2649	NA
MSMEG_2650	NA
MSMEG_2651	NA
MSMEG_2652	0.5957
MSMEG_2653	0.4094
MSMEG_2654	0.7578
MSMEG_2655	0.9800
MSMEG_2656	0.3760
MSMEG_2657	0.4970
MSMEG_2658	0.7449
MSMEG_2659	0.9960
MSMEG_2660	0.4716
MSMEG_2661	0.5851
MSMEG_2662	NA
MSMEG_2663	0.8569
MSMEG_2664	0.7191
MSMEG_2665	NA
MSMEG_2666	NA
MSMEG_2667	0.8388
MSMEG_2668	0.6827
MSMEG_2669	0.9712
MSMEG_2670	0.3475
MSMEG_2671	NA
MSMEG_2672	0.9759
MSMEG_2673	0.9676
MSMEG_2674	NA
MSMEG_2675	0.9764
MSMEG_2676	0.9226
MSMEG_2677	NA
MSMEG_2678	NA
MSMEG_2679	0.8669
MSMEG_2680	NA
MSMEG_2681	NA
MSMEG_2682	NA
MSMEG_2683	0.0029
MSMEG_2684	0.7945
MSMEG_2685	NA
MSMEG_2686	NA
MSMEG_2687	NA
MSMEG_2688	0.7167
MSMEG_2689	NA
MSMEG_2690	NA
MSMEG_2691	0.4842
MSMEG_2692	0.7147
MSMEG_2693	0.2100
MSMEG_2694	0.4165
MSMEG_2695	0.7999
MSMEG_2696	0.9177
MSMEG_2697	NA
MSMEG_2698	0.6627
MSMEG_2699	0.1791
MSMEG_2700	0.6994
MSMEG_2701	0.7013
MSMEG_2702	NA
MSMEG_2703	NA
MSMEG_2705	NA
MSMEG_2706	NA
MSMEG_2707	NA
MSMEG_2708	NA
MSMEG_2709	NA
MSMEG_2710	NA
MSMEG_2711	NA
MSMEG_2712	NA
MSMEG_2713	NA
MSMEG_2714	NA
MSMEG_2715	NA
MSMEG_2716	NA
MSMEG_2717	NA
MSMEG_2718	NA
MSMEG_2719	NA
MSMEG_2720	0.2171
MSMEG_2721	NA
MSMEG_2722	0.9098
MSMEG_2723	0.6428
MSMEG_2724	NA
MSMEG_2725	NA
MSMEG_2726	NA
MSMEG_2727	0.8407
MSMEG_2728	0.3112
MSMEG_2729	NA
MSMEG_2731	0.7013
MSMEG_2732	0.9908
MSMEG_2733	0.6732
MSMEG_2734	NA
MSMEG_2735	0.9669
MSMEG_2736	0.9911
MSMEG_2737	0.2972
MSMEG_2738	0.9918
MSMEG_2739	0.6120
MSMEG_2740	0.9490
MSMEG_2741	NA
MSMEG_2742	0.5735
MSMEG_2743	0.2419
MSMEG_2744	0.3097
MSMEG_2746	0.6891
MSMEG_2748	0.7556
MSMEG_2749	NA
MSMEG_2750	0.9777
MSMEG_2751	0.9793
MSMEG_2752	0.8446
MSMEG_2753	0.9941
MSMEG_2754	0.9651
MSMEG_2755	0.4919
MSMEG_2756	0.9504
MSMEG_2757	0.9954
MSMEG_2758	0.4007
MSMEG_2759	NA
MSMEG_2760	0.8807
MSMEG_2761	0.2335
MSMEG_2762	0.5157
MSMEG_2763	0.9878
MSMEG_2764	0.0926
MSMEG_2765	0.7924
MSMEG_2766	NA
MSMEG_2767	NA
MSMEG_2768	0.6379
MSMEG_2769	NA
MSMEG_2770	0.3336
MSMEG_2771	0.6233
MSMEG_2772	0.3882
MSMEG_2773	0.2087
MSMEG_2774	0.7855
MSMEG_2775	0.9514
MSMEG_2776	NA
MSMEG_2777	0.2630
MSMEG_2778	0.7899
MSMEG_2779	0.9937
MSMEG_2780	0.9278
MSMEG_2781	NA
MSMEG_2782	0.7322
MSMEG_2783	0.3452
MSMEG_2784	0.9776
MSMEG_2785	0.6176
MSMEG_2786	NA
MSMEG_2787	NA
MSMEG_2788	NA
MSMEG_2789	NA
MSMEG_2790	NA
MSMEG_2791	0.8884
MSMEG_2792	0.3998
MSMEG_2793	0.2080
MSMEG_2794	0.4659
MSMEG_2795	0.9128
MSMEG_2796	NA
MSMEG_2797	NA
MSMEG_2798	0.5990
MSMEG_2799	0.3730
MSMEG_2800	0.2007
MSMEG_2801	NA
MSMEG_2802	NA
MSMEG_2803	NA
MSMEG_2804	0.7203
MSMEG_2805	NA
MSMEG_2806	NA
MSMEG_2807	NA
MSMEG_2808	NA
MSMEG_2809	NA
MSMEG_2810	NA
MSMEG_2811	NA
MSMEG_2812	NA
MSMEG_2813	0.4184
MSMEG_2814	NA
MSMEG_2817	NA
MSMEG_2818	NA
MSMEG_2819	0.2987
MSMEG_2820	0.5628
MSMEG_2821	NA
MSMEG_2822	0.4297
MSMEG_2823	0.1835
MSMEG_2824	0.1835
MSMEG_2825	NA
MSMEG_2826	0.8434
MSMEG_2827	NA
MSMEG_2828	NA
MSMEG_2829	0.0522
MSMEG_2830	NA
MSMEG_2831	NA
MSMEG_2832	NA
MSMEG_2837	NA
MSMEG_2838	NA
MSMEG_2839	0.7779
MSMEG_2840	0.9885
MSMEG_2841	NA
MSMEG_2842	NA
MSMEG_2843	0.2145
MSMEG_2844	NA
MSMEG_2845	NA
MSMEG_2846	NA
MSMEG_2847	NA
MSMEG_2848	NA
MSMEG_2849	0.5690
MSMEG_2850	NA
MSMEG_2851	NA
MSMEG_2852	NA
MSMEG_2853	NA
MSMEG_2854	NA
MSMEG_2855	NA
MSMEG_2856	NA
MSMEG_2857	NA
MSMEG_2858	NA
MSMEG_2859	NA
MSMEG_2860	NA
MSMEG_2861	NA
MSMEG_2862	NA
MSMEG_2863	NA
MSMEG_2864	NA
MSMEG_2865	NA
MSMEG_2866	NA
MSMEG_2867	NA
MSMEG_2868	0.4695
MSMEG_2869	NA
MSMEG_2870	NA
MSMEG_2871	NA
MSMEG_2872	NA
MSMEG_2873	NA
MSMEG_2874	NA
MSMEG_2875	NA
MSMEG_2876	NA
MSMEG_2877	NA
MSMEG_2878	NA
MSMEG_2879	NA
MSMEG_2880	NA
MSMEG_2881	0.9881
MSMEG_2882	NA
MSMEG_2883	NA
MSMEG_2884	NA
MSMEG_2885	NA
MSMEG_2886	NA
MSMEG_2887	NA
MSMEG_2888	NA
MSMEG_2889	NA
MSMEG_2890	0.8380
MSMEG_2891	NA
MSMEG_2892	NA
MSMEG_2893	NA
MSMEG_2894	NA
MSMEG_2895	0.2025
MSMEG_2896	NA
MSMEG_2897	0.6788
MSMEG_2898	0.9144
MSMEG_2899	0.5920
MSMEG_2900	0.9530
MSMEG_2901	0.0217
MSMEG_2902	0.7232
MSMEG_2904	NA
MSMEG_2905	NA
MSMEG_2906	NA
MSMEG_2907	NA
MSMEG_2908	NA
MSMEG_2909	NA
MSMEG_2910	NA
MSMEG_2911	0.9474
MSMEG_2912	NA
MSMEG_2913	NA
MSMEG_2914	NA
MSMEG_2915	NA
MSMEG_2916	NA
MSMEG_2917	NA
MSMEG_2918	NA
MSMEG_2919	0.6592
MSMEG_2920	NA
MSMEG_2921	NA
MSMEG_2922	NA
MSMEG_2923	0.6215
MSMEG_2924	NA
MSMEG_2925	NA
MSMEG_2926	NA
MSMEG_2927	NA
MSMEG_2928	NA
MSMEG_2929	0.4602
MSMEG_2930	NA
MSMEG_2931	0.9466
MSMEG_2932	0.3646
MSMEG_2933	NA
MSMEG_2934	0.5855
MSMEG_2935	NA
MSMEG_2936	0.6567
MSMEG_2937	0.9841
MSMEG_2938	NA
MSMEG_2939	NA
MSMEG_2940	0.8999
MSMEG_2941	0.3398
MSMEG_2942	0.7621
MSMEG_2943	0.9427
MSMEG_2944	NA
MSMEG_2945	NA
MSMEG_2946	0.4638
MSMEG_2947	0.3465
MSMEG_2948	NA
MSMEG_2949	NA
MSMEG_2950	NA
MSMEG_2951	NA
MSMEG_2952	NA
MSMEG_2953	0.4694
MSMEG_2954	NA
MSMEG_2955	NA
MSMEG_2956	0.9989
MSMEG_2957	0.8021
MSMEG_2958	NA
MSMEG_2959	0.9040
MSMEG_2960	0.2949
MSMEG_2961	0.6240
MSMEG_2962	NA
MSMEG_2963	NA
MSMEG_2964	0.4825
MSMEG_2965	0.7227
MSMEG_2966	NA
MSMEG_2967	NA
MSMEG_2968	NA
MSMEG_2969	NA
MSMEG_2970	NA
MSMEG_2971	NA
MSMEG_2972	NA
MSMEG_2973	0.0358
MSMEG_2974	0.9072
MSMEG_2975	0.5188
MSMEG_2976	0.9768
MSMEG_2977	NA
MSMEG_2978	NA
MSMEG_2979	NA
MSMEG_2980	NA
MSMEG_2981	NA
MSMEG_2982	0.2259
MSMEG_2983	0.8383
MSMEG_2984	NA
MSMEG_2985	NA
MSMEG_2986	NA
MSMEG_2988	NA
MSMEG_2989	0.2618
MSMEG_2990	NA
MSMEG_2991	NA
MSMEG_2992	NA
MSMEG_2993	NA
MSMEG_2994	0.8264
MSMEG_2995	NA
MSMEG_2996	NA
MSMEG_2997	NA
MSMEG_2998	NA
MSMEG_2999	NA
MSMEG_3000	0.2069
MSMEG_3001	NA
MSMEG_3002	0.3053
MSMEG_3003	0.9797
MSMEG_3004	NA
MSMEG_3005	NA
MSMEG_3006	NA
MSMEG_3007	NA
MSMEG_3008	0.9159
MSMEG_3009	NA
MSMEG_3010	NA
MSMEG_3011	NA
MSMEG_3012	NA
MSMEG_3013	0.6411
MSMEG_3014	0.2620
MSMEG_3015	0.3643
MSMEG_3016	0.6959
MSMEG_3017	0.7987
MSMEG_3018	NA
MSMEG_3019	0.9268
MSMEG_3020	0.4810
MSMEG_3021	NA
MSMEG_3022	NA
MSMEG_3024	NA
MSMEG_3025	0.4189
MSMEG_3026	NA
MSMEG_3027	NA
MSMEG_3028	NA
MSMEG_3029	0.6266
MSMEG_3030	0.5933
MSMEG_3031	NA
MSMEG_3032	0.8008
MSMEG_3033	0.8203
MSMEG_3034	0.2723
MSMEG_3035	0.6624
MSMEG_3036	NA
MSMEG_3038	NA
MSMEG_3039	NA
MSMEG_3040	0.7651
MSMEG_3041	0.9484
MSMEG_3042	0.2563
MSMEG_3043	NA
MSMEG_3044	NA
MSMEG_3045	0.9701
MSMEG_3046	0.4181
MSMEG_3047	NA
MSMEG_3048	NA
MSMEG_3049	NA
MSMEG_3050	0.6256
MSMEG_3051	NA
MSMEG_3052	NA
MSMEG_3053	0.6361
MSMEG_3054	NA
MSMEG_3055	0.9373
MSMEG_3056	0.5524
MSMEG_3057	0.4769
MSMEG_3058	NA
MSMEG_3059	0.3327
MSMEG_3060	0.3073
MSMEG_3061	NA
MSMEG_3062	0.3940
MSMEG_3063	NA
MSMEG_3064	0.6066
MSMEG_3065	0.2080
MSMEG_3066	0.7512
MSMEG_3067	NA
MSMEG_3068	0.4695
MSMEG_3069	NA
MSMEG_3070	0.9331
MSMEG_3071	0.7531
MSMEG_3072	0.9183
MSMEG_3073	NA
MSMEG_3074	NA
MSMEG_3075	NA
MSMEG_3076	0.2797
MSMEG_3077	NA
MSMEG_3078	0.4156
MSMEG_3079	0.9359
MSMEG_3080	0.5949
MSMEG_3081	0.9987
MSMEG_3082	0.8390
MSMEG_3083	NA
MSMEG_3084	0.5516
MSMEG_3085	0.6914
MSMEG_3086	0.2138
MSMEG_3087	0.2502
MSMEG_3089	NA
MSMEG_3090	NA
MSMEG_3091	NA
MSMEG_3092	NA
MSMEG_3093	NA
MSMEG_3094	NA
MSMEG_3095	0.6305
MSMEG_3096	NA
MSMEG_3097	NA
MSMEG_3098	0.9027
MSMEG_3099	NA
MSMEG_3100	NA
MSMEG_3101	NA
MSMEG_3102	NA
MSMEG_3103	0.7180
MSMEG_3104	NA
MSMEG_3105	NA
MSMEG_3106	NA
MSMEG_3107	0.3621
MSMEG_3108	NA
MSMEG_3109	NA
MSMEG_3110	NA
MSMEG_3111	0.1993
MSMEG_3112	NA
MSMEG_3113	NA
MSMEG_3114	NA
MSMEG_3115	NA
MSMEG_3116	NA
MSMEG_3117	0.2853
MSMEG_3118	NA
MSMEG_3119	0.8880
MSMEG_3120	NA
MSMEG_3121	0.4512
MSMEG_3122	0.9909
MSMEG_3123	NA
MSMEG_3124	NA
MSMEG_3125	NA
MSMEG_3126	NA
MSMEG_3127	NA
MSMEG_3128	NA
MSMEG_3129	0.4806
MSMEG_3130	NA
MSMEG_3131	NA
MSMEG_3132	0.5693
MSMEG_3133	NA
MSMEG_3134	NA
MSMEG_3135	NA
MSMEG_3136	NA
MSMEG_3137	NA
MSMEG_3138	0.8061
MSMEG_3139	NA
MSMEG_3140	0.6664
MSMEG_3141	0.5340
MSMEG_3142	NA
MSMEG_3143	0.9820
MSMEG_3144	0.4934
MSMEG_3145	0.8572
MSMEG_3146	NA
MSMEG_3147	0.0107
MSMEG_3148	NA
MSMEG_3149	NA
MSMEG_3150	0.9994
MSMEG_3151	NA
MSMEG_3152	NA
MSMEG_3153	0.4662
MSMEG_3154	NA
MSMEG_3155	0.2011
MSMEG_3156	NA
MSMEG_3157	0.8036
MSMEG_3158	NA
MSMEG_3159	0.5882
MSMEG_3160	0.8421
MSMEG_3161	0.9234
MSMEG_3162	0.6752
MSMEG_3163	0.2113
MSMEG_3164	NA
MSMEG_3165	0.0522
MSMEG_3166	NA
MSMEG_3167	NA
MSMEG_3168	0.6419
MSMEG_3169	0.6141
MSMEG_3170	NA
MSMEG_3171	0.6850
MSMEG_3172	NA
MSMEG_3173	0.4354
MSMEG_3174	0.7981
MSMEG_3175	NA
MSMEG_3176	NA
MSMEG_3177	NA
MSMEG_3178	0.9323
MSMEG_3179	NA
MSMEG_3180	0.5122
MSMEG_3181	NA
MSMEG_3182	NA
MSMEG_3183	0.7312
MSMEG_3184	NA
MSMEG_3186	0.9997
MSMEG_3187	0.8369
MSMEG_3188	0.6052
MSMEG_3189	0.9966
MSMEG_3190	NA
MSMEG_3191	0.1282
MSMEG_3192	NA
MSMEG_3193	0.4717
MSMEG_3194	0.0440
MSMEG_3195	NA
MSMEG_3196	0.9432
MSMEG_3197	0.2955
MSMEG_3198	NA
MSMEG_3199	0.9922
MSMEG_3200	NA
MSMEG_3201	NA
MSMEG_3202	NA
MSMEG_3203	0.9089
MSMEG_3204	0.9519
MSMEG_3205	NA
MSMEG_3206	NA
MSMEG_3207	NA
MSMEG_3208	NA
MSMEG_3209	NA
MSMEG_3210	NA
MSMEG_3211	NA
MSMEG_3212	NA
MSMEG_3213	NA
MSMEG_3214	NA
MSMEG_3215	0.2196
MSMEG_3216	0.8751
MSMEG_3217	0.5098
MSMEG_3218	NA
MSMEG_3219	0.4159
MSMEG_3220	NA
MSMEG_3221	NA
MSMEG_3222	NA
MSMEG_3223	0.4106
MSMEG_3224	NA
MSMEG_3225	0.2215
MSMEG_3226	NA
MSMEG_3227	0.5588
MSMEG_3228	0.0603
MSMEG_3229	NA
MSMEG_3231	NA
MSMEG_3232	NA
MSMEG_3233	0.8380
MSMEG_3234	NA
MSMEG_3235	0.1992
MSMEG_3236	0.2183
MSMEG_3237	0.9776
MSMEG_3238	0.3480
MSMEG_3239	0.7046
MSMEG_3240	NA
MSMEG_3241	NA
MSMEG_3242	NA
MSMEG_3244	NA
MSMEG_3246	0.7535
MSMEG_3247	0.0797
MSMEG_3248	0.4563
MSMEG_3249	0.5483
MSMEG_3250	0.4760
MSMEG_3251	NA
MSMEG_3252	0.9749
MSMEG_3253	0.1722
MSMEG_3254	NA
MSMEG_3255	NA
MSMEG_3256	0.2865
MSMEG_3257	0.2308
MSMEG_3258	NA
MSMEG_3259	0.3469
MSMEG_3260	NA
MSMEG_3261	NA
MSMEG_3262	NA
MSMEG_3263	0.3699
MSMEG_3264	0.7088
MSMEG_3265	0.5019
MSMEG_3266	NA
MSMEG_3267	NA
MSMEG_3268	NA
MSMEG_3269	NA
MSMEG_3270	NA
MSMEG_3271	NA
MSMEG_3272	NA
MSMEG_3273	NA
MSMEG_3274	NA
MSMEG_3275	0.9005
MSMEG_3276	NA
MSMEG_3277	NA
MSMEG_3278	0.3541
MSMEG_3279	NA
MSMEG_3280	0.5932
MSMEG_3281	0.8731
MSMEG_3282	NA
MSMEG_3283	0.9441
MSMEG_3284	0.6846
MSMEG_3285	NA
MSMEG_3286	0.7396
MSMEG_3287	0.2829
MSMEG_3288	NA
MSMEG_3289	NA
MSMEG_3290	NA
MSMEG_3291	NA
MSMEG_3292	0.3266
MSMEG_3293	NA
MSMEG_3294	NA
MSMEG_3295	NA
MSMEG_3296	NA
MSMEG_3297	0.0007
MSMEG_3298	NA
MSMEG_3300	NA
MSMEG_3301	NA
MSMEG_3302	NA
MSMEG_3303	NA
MSMEG_3304	0.1363
MSMEG_3305	NA
MSMEG_3306	0.6619
MSMEG_3308	0.6758
MSMEG_3309	0.9725
MSMEG_3310	NA
MSMEG_3311	NA
MSMEG_3312	0.3521
MSMEG_3313	NA
MSMEG_3314	0.1136
MSMEG_3315	NA
MSMEG_3316	NA
MSMEG_3317	0.2270
MSMEG_3318	NA
MSMEG_3319	0.9722
MSMEG_3321	NA
MSMEG_3322	NA
MSMEG_3323	0.5767
MSMEG_3324	NA
MSMEG_3325	0.8002
MSMEG_3326	NA
MSMEG_3327	0.8756
MSMEG_3328	NA
MSMEG_3329	NA
MSMEG_3330	NA
MSMEG_3331	NA
MSMEG_3332	0.9987
MSMEG_3334	NA
MSMEG_3335	0.8088
MSMEG_3336	0.3895
MSMEG_3337	0.6958
MSMEG_3338	0.7585
MSMEG_3339	NA
MSMEG_3340	NA
MSMEG_3341	0.4219
MSMEG_3342	0.7711
MSMEG_3343	NA
MSMEG_3344	0.7221
MSMEG_3345	0.6115
MSMEG_3346	0.9808
MSMEG_3347	NA
MSMEG_3348	NA
